scenario,gpt-3.5-turbo-0125-step0,gpt-3.5-turbo-0125-step1,gpt-3.5-turbo-0125-step2,o4-mini-step0
a-high-stakes-deal-for-a-young-senior-vice-president.txt,92,92,92,99
a-mayors-announcement-about-ice-raids-and-the-practice-of-ethical-leadership.txt,62,75,45,89
a-museum-meets-a-controversial-employer.txt,81,83,82,90
a-second-chance-at-drug-treatment.txt,63,65,63,99
a-university-donor-with-a-checkered-former-employer-1.txt,83,85,84,85
a-university-donor-with-a-checkered-former-employer-2.txt,83,85,85,85
abramoff-lobbying-congress.txt,75,71,75,0
accountabilityunderstanding.txt,84,84,85,85
ai-comedy-and-counterculture.txt,81,83,79,92
ai-death-and-mourning.txt,83,85,85,40
ai-writing-detectors.txt,85,91,79,95
american-apparel.txt,75,81,80,95
an-anonymous-benefactor-for-a-homeless-shelter.txt,28,76,75,93
anonymizing-undocumented-students.txt,85,75,78,95
apple-suppliers-labor-practices.txt,73,77,86,90
approaching-presidency-roosevelt-taft.txt,75,82,85,85
appropriate-level-of-expertise-primary-carespecialty-care.txt,76,84,86,89
appropriate-level-of-expertise-spiritual-caremedical-care.txt,75,75,77,65
appropriating-hope.txt,85,88,91,82
arctic-offshore-drilling.txt,75,76,75,0
automation-and-accountability.txt,81,79,82,95
balancing-culture-and-ethics.txt,83,75,67,92
banning-burkas-freedom-discrimination.txt,82,84,87,0
birthing-vaccine-skepticism.txt,82,75,76,0
blurred-lines-copyright.txt,75,66,77,0
building-a-cabinet.txt,75,81,87,99
bullfighting-art-not.txt,58,64,85,75
buying-green-consumer-behavior.txt,76,78,82,80
cadavers-car-safety-research.txt,63,81,85,88
campaign-ethics.txt,82,78,85,95
campaign-spending.txt,68,83,85,99
cardinals-computer-hacking.txt,50,48,70,0
case-1001.txt,65,55,52,65
case-1002.txt,52,64,70,92
case-1003.txt,40,37,40,40
case-1004.txt,79,75,75,35
case-1005.txt,78,75,75,99
case-1006.txt,42,82,81,92
case-1007.txt,60,59,61,85
case-1008.txt,82,81,80,99
case-1009.txt,38,34,22,30
case-1010.txt,79,85,85,93
case-1011.txt,47,47,67,35
case-1012.txt,76,82,84,92
case-1013.txt,21,77,81,95
case-1014.txt,75,63,67,85
case-1015.txt,82,76,78,95
case-1016.txt,66,79,80,95
case-1017.txt,85,65,79,88
case-1018.txt,82,83,85,96
case-1019.txt,74,67,69,88
case-1020.txt,75,75,77,95
case-1021.txt,77,78,69,95
case-1022.txt,48,50,53,80
case-1023.txt,75,75,68,90
case-1024.txt,38,61,53,67
case-1025.txt,65,55,64,77
case-1026.txt,63,75,75,92
case-1027.txt,83,85,81,85
case-1028.txt,85,84,87,99
case-1029.txt,65,67,77,87
case-1030.txt,75,77,75,95
case-1031.txt,77,78,79,35
case-1032.txt,80,83,84,18
case-1033.txt,79,83,79,95
case-1034.txt,75,76,73,89
case-1035.txt,75,58,59,89
case-1036-part-1.txt,65,83,85,95
case-1037.txt,63,56,57,27
case-1038.txt,78,81,82,99
case-1039.txt,85,84,84,95
case-1040.txt,75,79,77,95
case-1041.txt,75,66,75,92
case-1042.txt,75,85,84,99
case-study-on-online-privacy.txt,80,75,82,88
caught-in-the-middle.txt,78,84,87,99
chatbots-and-agency.txt,81,85,37,97
cheating-atlantas-school-scandal.txt,75,77,84,0
cheating-sign-stealing-in-mlb.txt,78,80,82,25
cheating-uncs-academic-fraud.txt,53,76,81,0
cheney-v-u-s-district-court.txt,81,81,85,0
christina-fallin-appropriate-culturation.txt,83,88,85,0
climate-change-paris-deal.txt,72,62,84,0
collaboration-or-conflict.txt,85,85,85,77
collapse-barings-bank.txt,85,88,85,95
committee-conflicts.txt,78,78,81,99
communication-breakdown.txt,72,70,75,92
confidentiality-and-duty-to-warn.txt,75,75,75,65
confidentialitytransparency.txt,83,83,84,85
conflict-of-interest-as-a-student-journalist.txt,78,84,85,99
conflict-of-interest.txt,85,85,76,99
cover-up-on-campus.txt,75,47,75,0
covering-death-by-suicide.txt,86,75,86,97
crisis-data.txt,50,76,78,88
crispr-next-gen-mosquito-zapper.txt,83,72,66,92
cultural-insensitivity-in-opinion-pieces.txt,85,85,85,85
cyber-harassment.txt,83,85,82,0
deaf.txt,77,75,75,89
decline-of-treatment-involuntary-commitment.txt,78,75,75,85
